month,revenue
2022-01-01,180007760
2022-02-01,185473192
2022-03-01,185579841
2022-04-01,196409821
2022-05-01,193743775
2022-06-01,190132052
2022-07-01,178378682
2022-08-01,181063896
2022-09-01,179922931
2022-10-01,176964368
2022-11-01,189058933
2022-12-01,202680821
2023-01-01,200076776
2023-02-01,210452526
2023-03-01,224152015
2023-04-01,217515383
2023-05-01,225191412
2023-06-01,205194952
2023-07-01,206040125
2023-08-01,211583053
2023-09-01,204334593
2023-10-01,199723707
2023-11-01,209034716
2023-12-01,211163566
2024-01-01,219614572
2024-02-01,221013324
2024-03-01,230853744
2024-04-01,234798878
2024-05-01,228904731
2024-06-01,214857563
2024-07-01,224421886
2024-08-01,237686279
2024-09-01,198902925
2024-10-01,211107045
2024-11-01,219016495
2024-12-01,228385208
2025-01-01,241913229
2025-02-01,248796782
2025-03-01,256518978
2025-04-01,260225805
2025-05-01,245797137
2025-06-01,247106199
2025-07-01,239500682
2025-08-01,241554936
2025-09-01,232977004
2025-10-01,229038569
2025-11-01,252028447
2025-12-01,243447880
